"Date","Price","Open","High","Low","Vol.","Change %"
"07/03/2022","1.09","1.12","1.15","1.06","45.16K","-3.54%"
"06/26/2022","1.13","1.11","1.18","1.09","25.94K","2.73%"
"06/19/2022","1.10","1.09","1.21","1.05","32.55K","0.92%"
"06/12/2022","1.09","1.16","1.26","1.05","102.06K","-5.22%"
"06/05/2022","1.15","1.30","1.30","1.15","58.75K","-10.16%"
"05/29/2022","1.28","1.28","1.30","1.25","25.64K","-0.78%"
"05/22/2022","1.29","1.30","1.33","1.24","107.83K","-1.53%"
"05/15/2022","1.31","1.33","1.33","1.28","65.08K","0.77%"
"05/08/2022","1.30","1.29","1.33","1.28","137.63K","0.78%"
"05/01/2022","1.29","1.29","1.33","1.28","259.35K","-0.77%"
"04/24/2022","1.30","1.23","1.33","1.21","115.98K","5.69%"
"04/17/2022","1.23","1.27","1.30","1.23","93.90K","-2.38%"
"04/10/2022","1.26","1.32","1.35","1.25","39.45K","-5.26%"
"04/03/2022","1.33","1.31","1.35","1.25","72.71K","2.31%"
"03/27/2022","1.30","1.34","1.45","1.26","209.89K","-2.99%"
"03/20/2022","1.34","1.40","1.41","1.13","222.31K","-3.60%"
"03/13/2022","1.39","1.38","1.43","1.32","269.89K","0.00%"
"03/06/2022","1.39","1.32","1.43","1.25","362.62K","3.73%"
"02/27/2022","1.34","1.26","1.37","1.26","655.53K","5.51%"
"02/20/2022","1.27","1.25","1.30","1.25","79.90K","0.79%"
"02/13/2022","1.26","1.30","1.35","1.25","110.18K","-5.26%"
"02/06/2022","1.33","1.36","1.36","1.28","109.93K","-2.92%"
"01/30/2022","1.37","1.21","1.37","1.21","147.81K","14.17%"
"01/23/2022","1.20","1.20","1.28","1.10","237.22K","-1.64%"
"01/16/2022","1.22","1.20","1.25","1.14","322.82K","1.67%"
"01/09/2022","1.20","1.28","1.29","1.20","66.84K","-5.51%"
"01/02/2022","1.27","1.29","1.30","1.17","171.99K","-0.78%"
"12/26/2021","1.28","1.30","1.32","1.26","61.18K","1.59%"
"12/19/2021","1.26","1.20","1.26","1.19","116.61K","5.00%"
"12/12/2021","1.20","1.21","1.25","1.14","110.89K","-0.83%"
"12/05/2021","1.21","1.15","1.27","1.09","203.51K","6.14%"
"11/28/2021","1.14","1.09","1.19","1.04","126.50K","1.79%"
"11/21/2021","1.12","1.13","1.18","1.07","122.51K","0.00%"
"11/14/2021","1.12","1.02","1.22","1.02","171.66K","6.67%"
"11/07/2021","1.05","1.28","1.30","1.01","306.71K","-16.00%"
"10/31/2021","1.25","1.02","1.35","0.97","335.96K","26.26%"
"10/24/2021","0.99","1.00","1.03","0.95","87.31K","-2.94%"
"10/17/2021","1.02","0.99","1.03","0.95","156.27K","2.00%"
"10/10/2021","1.00","1.03","1.09","0.99","93.51K","-3.85%"
"10/03/2021","1.04","1.10","1.10","0.99","59.53K","0.00%"
"09/26/2021","1.04","1.05","1.06","0.98","204.10K","-2.80%"
"09/19/2021","1.07","1.00","1.10","0.95","171.60K","9.18%"
"09/12/2021","0.98","0.98","1.01","0.94","191.81K","-2.00%"
"09/05/2021","1.00","1.03","1.10","0.99","292.63K","-1.96%"
